product_key,product_code,product_name,category_key,brand_key,unit,color,size,storage,weight_gram,cost_price,selling_price,tax_percent,status,is_active
1,PRD000001,Hasbro Monopoly,25,78,box,,,,254,344100,516800,11,Active,True
2,PRD000002,Xiaomi Redmi Note 14 Gray 256GB,3,13,pcs,Gray,,256GB,203,9509600,10856600,11,Active,True
3,PRD000003,Kalbe Fatigon,9,34,box,,,,394,398600,485200,11,Active,True
4,PRD000004,Uniqlo AIRism T-Shirt Silver,11,41,pcs,Silver,L,,696,1042500,1498600,11,Active,True
5,PRD000005,Casio CT-X700,22,70,pcs,,,,12290,9246600,11376000,11,Active,True
6,PRD000006,IKEA BILLY Bookcase Black,5,20,pcs,Black,Medium,,35638,5820400,6990300,11,Active,True
7,PRD000007,L'Oreal Revitalift,10,38,pcs,,,,259,35600,50600,11,Discontinued,False
8,PRD000008,Mattel Hot Wheels,25,77,pcs,,,,4144,44100,59300,11,Active,True
9,PRD000009,H&M Regular Jeans Black,12,43,pcs,Black,XS,,372,313300,487500,11,Active,True
10,PRD000010,LEGO City,25,76,pcs,,,,1486,1256200,1641500,11,Active,True
11,PRD000011,SteelSeries Rival 3 White 128GB,21,67,pcs,White,,128GB,3995,8016000,9538600,11,Discontinued,False
12,PRD000012,MamyPoko Royal Soft,20,63,pcs,,,,135,428800,575400,11,Active,True
13,PRD000013,Erlangga Science Book,16,54,pcs,,,,220,11700,15600,0,Active,True
14,PRD000014,Hasbro Transformers,25,78,pcs,,,,3918,299000,417300,11,Active,True
15,PRD000015,Nestle KitKat,8,31,box,,,,544,39800,46900,11,Active,True
16,PRD000016,Samsung Galaxy A56 Purple 64GB,3,12,pcs,Purple,,64GB,153,1708900,1849200,11,Active,True
17,PRD000017,The North Face Borealis Blue,15,52,pcs,Blue,20L,,2112,2370400,3288300,11,Active,True
18,PRD000018,Consina Carrier 60L Gold,15,51,pcs,Gold,50L,,4576,2366600,3174500,11,Active,True
19,PRD000019,Bantex Lever Arch File,24,74,pcs,,,,3527,145200,202700,11,Active,True
20,PRD000020,Carter's Baby Romper Purple,13,45,pcs,Purple,XXL,,52,874400,1179000,11,Active,True
21,PRD000021,Bantex Document Tray,24,74,pcs,,,,3050,103500,146100,11,Active,True
22,PRD000022,Indofood Indomie Goreng,7,26,pcs,,,,160,86600,97400,0,Active,True
23,PRD000023,Bantex Document Tray,24,74,pcs,,,,1032,159700,203900,11,Active,True
24,PRD000024,MamyPoko Pants Standard,20,63,pack,,,,2245,550500,762000,11,Active,True
25,PRD000025,Joyko Notebook,17,56,box,,,,164,11200,14900,11,Active,True
26,PRD000026,Royal Canin Mini Adult,19,61,pack,,,,4071,113900,139300,11,Active,True
27,PRD000027,Hasbro Monopoly,25,78,pcs,,,,4688,203600,314700,11,Active,True
28,PRD000028,GarudaFood Pilus,7,28,box,,,,154,49600,57000,0,Active,True
29,PRD000029,L'Oreal Revitalift,10,38,pcs,,,,317,40300,54200,11,Active,True
30,PRD000030,Blackmores Fish Oil,9,32,box,,,,330,315900,404500,11,Discontinued,False
31,PRD000031,Indofood Indomie Soto,7,26,pcs,,,,290,8000,9400,0,Active,True
32,PRD000032,Mattel Hot Wheels,25,77,box,,,,411,1149000,1538400,11,Active,True
33,PRD000033,ASUS Vivobook 15 White 128GB,2,9,pcs,White,,128GB,2490,6012700,6944800,11,Active,True
34,PRD000034,Olympic Kitchen Cabinet Gray,5,22,pcs,Gray,Medium,,10989,385200,483300,11,Active,True
35,PRD000035,The North Face Borealis Blue,15,52,pcs,Blue,20L,,526,3606900,4647000,11,Active,True
36,PRD000036,Whiskas Kitten Ocean Fish,19,60,pcs,,,,4896,57000,68600,11,Discontinued,False
37,PRD000037,Maspion Cooking Pot,6,25,set,,,,2436,199900,284500,11,Active,True
38,PRD000038,L'Oreal Revitalift,10,38,pcs,,,,207,208000,313700,11,Active,True
39,PRD000039,Faber Castell Color Pencil,17,55,box,,,,60,15900,20100,11,Active,True
40,PRD000040,Deli Stapler,24,75,pcs,,,,3904,315100,420700,11,Active,True
41,PRD000041,Anker PowerCore 10000 Black,23,71,pcs,Black,,,286,1182500,1842100,11,Active,True
42,PRD000042,Midea Microwave Oven,4,18,pcs,,,,3881,2803300,3278900,11,Active,True
43,PRD000043,Bantex Lever Arch File,24,74,pcs,,,,1290,279600,376300,11,Active,True
44,PRD000044,Deli Paper Cutter,24,75,pcs,,,,1015,316600,436100,11,Active,True
45,PRD000045,Cussons Baby Baby Oil,20,64,pack,,,,2092,484300,591200,11,Active,True
46,PRD000046,Royal Canin Mini Adult,19,61,pcs,,,,317,246000,328100,11,Active,True
47,PRD000047,Coca-Cola Fanta Orange,8,29,pack,,,,1662,39400,46000,11,Active,True
48,PRD000048,Philips Rice Cooker HD,4,16,pcs,,,,4842,933600,1138200,11,Active,True
49,PRD000049,Uniqlo Chino Pants Green,12,44,pcs,Green,M,,171,119900,189800,11,Active,True
50,PRD000050,Bantex Lever Arch File,24,74,pcs,,,,1455,344700,463100,11,Active,True
51,PRD000051,Baseus Power Bank Green,23,72,pcs,Green,,,937,98400,148500,11,Active,True
52,PRD000052,Carter's Baby Pajamas Red,13,45,pcs,Red,M,,94,978700,1297900,11,Active,True
53,PRD000053,Deli Stapler,24,75,pcs,,,,1288,115500,155900,11,Active,True
54,PRD000054,Wardah Perfect Bright,10,35,bottle,,,,198,244500,321200,11,Active,True
55,PRD000055,Mattel Barbie,25,77,pcs,,,,2665,174900,236400,11,Active,True
56,PRD000056,Informa Dining Chair Silver,5,21,pcs,Silver,Small,,23342,2400400,3217400,11,Active,True
57,PRD000057,UGREEN 65W Charger Gold,23,73,pcs,Gold,,,313,959900,1355700,11,Active,True
58,PRD000058,Sony PlayStation 5 Gold,1,3,pcs,Gold,,,769,4425800,5425100,11,Active,True
59,PRD000059,Make Over Lip Cream,10,36,bottle,,,,179,78200,108200,11,Active,True
60,PRD000060,Consina Tracking Pole White,15,51,pcs,White,20L,,5817,2581400,3399000,11,Active,True
61,PRD000061,MamyPoko Royal Soft,20,63,pcs,,,,509,429400,570700,11,Active,True
62,PRD000062,Informa Office Desk Gray,5,21,pcs,Gray,Medium,,28511,4167200,5331300,11,Active,True
63,PRD000063,Tupperware Eco Bottle,6,23,pcs,,,,3823,382800,535800,11,Active,True
64,PRD000064,Cussons Baby Baby Lotion,20,64,pcs,,,,256,1102500,1403800,11,Active,True
65,PRD000065,Tupperware Lunch Box,6,23,set,,,,4679,385500,523300,11,Active,True
66,PRD000066,Yamaha P-145,22,68,pcs,,,,1580,4309200,5207800,11,Active,True
67,PRD000067,Hasbro Nerf Elite,25,78,pcs,,,,237,603900,920600,11,Active,True
68,PRD000068,Philips Rice Cooker HD,4,16,pcs,,,,5192,6828800,7864600,11,Active,True
69,PRD000069,Make Over Lip Cream,10,36,bottle,,,,123,383900,532700,11,Active,True
70,PRD000070,Casio WK-6600,22,70,pcs,,,,4890,3526800,4063200,11,Active,True
71,PRD000071,Erlangga Science Book,16,54,pcs,,,,485,88200,118300,0,Active,True
72,PRD000072,Shell Brake Fluid,18,58,pcs,,,,543,363800,474900,11,Active,True
73,PRD000073,LocknLock Glass Container,6,24,set,,,,4624,162600,207300,11,Active,True
74,PRD000074,Sony PlayStation 5 Purple,1,3,pcs,Purple,,,3392,2545100,3034200,11,Active,True
75,PRD000075,Gramedia Novel,16,53,pcs,,,,720,22700,30100,0,Active,True
76,PRD000076,MamyPoko Pants Standard,20,63,pack,,,,2338,1408700,1825700,11,Active,True
